geoid,name,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
14000US11001002702,"Census Tract 27.02, District of Columbia, DC",5855,599,432,203,152,99,0,17,0,17,0,17,0,17,0,17,0,17,47,74,47,52,4,10,5,12,49,53,0,17,0,17,280,176,54,86,0,17,0,17,0,17,0,17,0,17,31,30,91,59,61,76,4,8,23,35,0,17,16,25,5423,563,2548,338,196,92,31,43,15,25,63,55,0,17,0,17,216,114,813,256,515,147,323,105,196,107,180,58,0,17,2875,371,138,139,18,22,114,69,58,56,0,17,35,39,344,115,988,246,395,138,368,112,180,94,125,47,112,86
14000US11001002801,"Census Tract 28.01, District of Columbia, DC",4375,462,986,324,461,208,155,128,0,12,73,86,13,20,11,17,11,16,23,25,76,61,45,51,8,14,11,17,35,43,0,12,525,190,54,59,0,12,22,25,0,12,0,12,0,12,29,37,176,78,62,48,62,70,27,25,84,73,9,13,3389,507,1759,316,201,129,4,8,56,60,34,52,11,18,41,51,172,127,567,182,309,141,161,88,136,76,50,32,17,19,1630,349,102,71,0,12,111,99,0,12,12,18,18,20,254,162,500,150,168,89,271,116,72,49,66,35,56,63
14000US11001002802,"Census Tract 28.02, District of Columbia, DC",5001,424,760,336,289,193,80,77,27,43,55,85,0,12,0,12,0,12,13,15,49,40,1,10,14,21,14,16,17,27,19,22,471,184,51,58,0,12,20,32,0,12,0,12,0,12,55,47,196,95,35,44,51,47,42,75,0,12,21,25,4241,368,2171,293,75,70,63,50,116,97,9,14,10,14,5,13,123,68,842,200,463,162,249,109,124,83,70,46,22,20,2070,268,182,66,0,12,100,75,12,13,13,19,65,67,244,151,803,183,194,85,198,84,160,76,65,44,34,29
14000US11001002900,"Census Tract 29, District of Columbia, DC",4868,497,515,275,217,107,8,15,0,12,47,73,7,12,0,12,8,14,27,23,53,55,13,19,17,26,37,55,0,12,0,12,298,211,6,11,0,12,55,72,56,74,0,12,0,12,8,13,53,47,49,58,39,43,21,24,0,12,11,18,4353,494,2285,287,125,66,0,12,18,21,71,49,24,25,30,37,305,156,822,170,349,117,311,127,149,63,44,31,37,32,2068,310,116,81,34,33,95,61,45,37,38,50,12,17,172,101,771,158,283,98,196,76,171,73,86,52,49,33
14000US11001003000,"Census Tract 30, District of Columbia, DC",3656,369,965,300,464,162,64,59,26,30,45,47,11,17,18,29,30,41,80,58,84,57,10,16,0,12,44,41,31,34,21,28,501,173,58,54,0,12,30,42,41,42,0,12,11,16,46,39,83,65,36,34,79,49,49,40,24,30,44,29,2691,271,1233,198,12,19,20,33,21,33,21,23,0,12,0,12,129,106,499,158,222,80,140,74,86,49,70,38,13,20,1458,221,150,66,0,12,52,41,15,24,16,26,10,17,104,65,633,156,150,57,113,55,85,47,106,54,24,22
14000US11001003100,"Census Tract 31, District of Columbia, DC",3355,474,353,313,167,118,49,76,0,12,0,12,0,12,0,12,0,12,58,55,0,12,0,12,11,17,25,27,0,12,24,37,186,211,34,54,0,12,16,27,16,27,9,18,0,12,48,73,12,17,0,12,14,22,21,23,8,16,8,11,3002,433,1405,272,36,47,0,12,129,61,48,46,0,12,11,17,116,65,411,154,280,74,154,131,151,77,62,39,7,14,1597,251,68,69,35,35,33,49,61,59,13,22,0,12,210,101,450,125,254,106,141,66,155,73,124,68,53,41
14000US11001003200,"Census Tract 32, District of Columbia, DC",4767,484,646,222,276,118,27,35,0,12,33,35,9,15,0,12,0,12,11,19,33,41,49,60,62,59,52,72,0,12,0,12,370,161,24,30,0,12,46,43,0,12,0,12,50,80,12,19,135,79,21,21,73,62,1,2,8,13,0,12,4121,426,1875,356,129,58,25,31,37,33,50,48,15,22,37,36,169,87,655,227,238,84,248,108,74,43,161,88,37,34,2246,261,157,89,14,21,121,68,98,71,0,12,21,25,234,101,356,125,434,119,354,123,204,86,148,64,105,42
14000US11001003301,"Census Tract 33.01, District of Columbia, DC",3436,422,371,198,129,83,0,12,0,12,0,12,0,12,0,12,0,12,50,50,39,50,12,19,28,33,0,12,0,12,0,12,242,133,0,12,0,12,0,12,0,12,0,12,0,12,181,122,17,28,0,12,13,17,23,26,0,12,8,11,3065,425,1731,296,75,58,0,12,16,27,57,53,0,12,19,23,108,58,685,234,370,96,252,97,101,58,29,20,19,16,1334,226,75,64,0,12,54,57,0,12,29,42,0,12,88,61,379,101,246,71,175,90,111,65,87,43,90,39
14000US11001003302,"Census Tract 33.02, District of Columbia, DC",2281,245,336,122,149,78,0,12,0,12,31,50,0,12,0,12,0,12,27,23,16,18,31,35,11,17,7,16,22,22,4,6,187,61,0,12,0,12,0,12,0,12,0,12,0,12,33,28,73,39,25,30,30,23,0,12,19,17,7,10,1945,236,916,162,69,46,0,12,45,32,9,15,0,12,0,12,84,59,266,88,222,73,107,45,71,30,22,19,21,19,1029,176,58,39,37,41,91,52,0,12,11,17,0,12,145,74,260,80,163,61,135,54,88,44,16,22,25,23
14000US11001003400,"Census Tract 34, District of Columbia, DC",2618,334,457,197,212,88,0,17,0,17,0,17,0,17,0,17,0,17,68,69,68,53,0,17,56,39,20,23,0,17,0,17,245,155,35,54,0,17,0,17,0,17,0,17,0,17,30,39,24,27,43,58,27,25,51,64,0,17,35,42,2161,330,1160,307,41,65,0,17,20,23,8,13,0,17,26,40,258,169,234,130,240,122,102,53,168,128,38,32,25,28,1001,186,49,40,0,17,34,40,0,17,0,17,7,13,88,60,297,118,133,66,179,99,105,68,92,81,17,18
14000US11001003500,"Census Tract 35, District of Columbia, DC",2818,513,709,326,312,173,42,61,4,7,44,51,44,51,0,12,0,12,24,31,47,29,15,24,1,5,38,23,40,38,13,14,397,172,33,52,0,12,52,46,0,12,4,6,3,7,26,20,48,51,28,32,56,35,38,28,28,22,81,51,2109,469,1241,288,12,18,0,12,58,51,31,41,0,12,24,25,108,76,515,169,209,65,138,67,84,54,39,30,23,28,868,243,43,36,0,12,51,39,8,13,30,48,0,12,48,30,307,116,105,58,60,32,168,101,37,37,11,12
14000US11001003600,"Census Tract 36, District of Columbia, DC",4692,519,501,185,224,122,13,26,0,12,0,12,22,42,0,12,0,12,0,12,48,61,49,44,51,51,24,31,17,27,0,12,277,116,14,29,0,12,0,12,0,12,0,12,0,12,164,113,38,49,11,21,0,12,24,39,0,12,26,32,4191,499,2294,423,14,24,48,58,134,61,0,12,15,25,0,12,192,121,792,207,337,153,416,212,249,182,63,42,34,39,1897,304,90,82,0,12,22,38,24,32,0,12,42,53,125,91,817,264,340,145,151,100,154,86,102,64,30,34
14000US11001003700,"Census Tract 37, District of Columbia, DC",5079,708,904,309,325,159,48,63,0,17,74,80,39,59,0,17,0,17,11,17,75,84,0,17,47,51,3,6,0,17,28,34,579,211,0,17,39,52,90,86,18,29,0,17,46,66,96,92,115,84,0,17,17,26,84,74,74,61,0,17,4175,681,2128,426,134,113,0,17,72,86,5,22,0,17,0,17,321,177,826,289,343,144,242,106,140,84,20,31,25,37,2047,456,237,194,0,17,54,71,0,17,0,17,81,71,206,138,775,265,326,105,61,43,221,114,86,104,0,17
14000US11001003800,"Census Tract 38, District of Columbia, DC",5108,489,539,237,357,193,0,17,0,17,0,17,48,75,18,28,0,17,19,30,95,87,18,44,48,55,111,74,0,17,0,17,182,100,0,17,0,17,0,17,0,17,0,17,0,17,59,58,67,66,0,17,16,25,40,40,0,17,0,17,4569,513,2320,407,88,72,17,32,42,57,0,17,0,17,36,46,157,183,1110,274,368,156,167,93,180,81,93,61,62,49,2249,259,87,63,0,17,14,23,18,38,0,17,17,33,83,88,1100,243,353,151,208,96,225,119,115,75,29,36
14000US11001003900,"Census Tract 39, District of Columbia, DC",4443,361,456,192,185,111,0,12,0,12,0,12,0,12,0,12,0,12,19,31,0,12,54,63,67,70,23,37,22,36,0,12,271,138,0,12,0,12,0,12,0,12,0,12,0,12,87,69,121,107,18,28,0,12,32,37,13,22,0,12,3987,340,1734,235,42,36,23,35,28,36,28,36,21,35,0,12,56,44,690,149,284,116,366,120,87,61,81,50,28,34,2253,282,76,65,0,12,17,26,0,12,0,12,0,12,65,58,1184,234,361,133,186,92,177,81,126,61,61,85
14000US11001004001,"Census Tract 40.01, District of Columbia, DC",3878,497,114,73,51,46,0,12,0,12,0,12,0,12,0,12,0,12,14,22,22,34,15,24,0,12,0,12,0,12,0,12,63,58,0,12,0,12,0,12,0,12,0,12,0,12,19,36,28,36,0,12,0,12,0,12,16,26,0,12,3764,494,2058,482,103,57,46,23,18,30,0,12,0,12,0,12,8,14,851,518,358,103,326,152,186,88,90,54,72,49,1706,220,30,34,15,23,54,34,0,12,0,12,0,12,128,116,463,119,419,111,200,88,166,92,125,60,106,60
14000US11001004002,"Census Tract 40.02, District of Columbia, DC",2813,299,97,45,22,18,0,12,0,12,0,12,0,12,0,12,0,12,6,9,4,7,0,12,7,10,5,8,0,12,0,12,75,42,0,12,0,12,0,12,0,12,0,12,0,12,7,11,27,35,0,12,0,12,10,15,27,24,4,8,2716,308,1449,226,11,13,0,12,9,16,0,12,0,12,31,45,74,74,533,142,362,112,234,92,105,44,30,23,60,43,1267,230,0,12,30,43,38,46,0,12,19,29,0,12,113,57,605,160,215,73,70,47,82,34,41,27,54,50
14000US11001004100,"Census Tract 41, District of Columbia, DC",2597,244,155,77,85,58,0,12,0,12,0,12,0,12,0,12,0,12,4,8,23,36,7,11,43,36,0,12,0,12,8,12,70,49,0,12,0,12,0,12,0,12,0,12,0,12,22,26,17,20,2,4,0,12,23,36,6,10,0,12,2442,243,1174,174,64,51,0,12,74,40,0,12,0,12,10,16,21,18,182,94,238,78,148,71,197,68,183,51,57,30,1268,155,16,22,0,12,25,23,11,18,9,15,25,39,109,61,189,70,247,94,191,64,182,47,193,60,71,34
14000US11001004201,"Census Tract 42.01, District of Columbia, DC",3639,372,206,103,83,57,0,12,0,12,0,12,0,12,0,12,0,12,18,29,28,32,37,34,0,12,0,12,0,12,0,12,123,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,45,0,12,17,26,17,26,0,12,35,30,3433,392,1819,325,53,44,0,12,50,55,0,12,0,12,0,12,187,152,824,209,373,130,172,75,115,74,45,28,0,12,1614,216,35,41,0,12,3,10,0,12,0,12,0,12,92,65,977,175,253,121,102,55,61,39,58,36,33,37
14000US11001004202,"Census Tract 42.02, District of Columbia, DC",2666,236,223,96,117,70,0,12,0,12,0,12,0,12,0,12,0,12,4,5,32,27,18,30,46,47,16,19,1,3,0,12,106,68,0,12,0,12,0,12,0,12,0,12,0,12,37,34,58,54,0,12,0,12,11,16,0,12,0,12,2443,233,1231,165,48,31,11,18,11,14,13,20,0,12,0,12,30,26,543,126,209,54,88,53,160,67,106,55,12,18,1212,187,20,20,9,14,19,24,0,12,0,12,0,12,88,62,717,157,154,77,65,41,72,40,45,34,23,39
14000US11001004300,"Census Tract 43, District of Columbia, DC",3481,339,353,170,155,119,0,12,0,12,13,20,22,30,9,26,9,26,22,27,46,66,9,14,0,12,0,12,9,14,16,26,198,100,15,23,0,12,0,12,14,22,0,12,0,12,5,8,47,52,13,20,51,59,7,12,18,27,28,28,3128,311,1751,300,81,71,26,34,49,50,0,12,0,12,0,12,109,91,455,155,479,148,294,98,94,56,100,51,64,49,1377,198,57,44,20,29,29,38,0,12,0,12,8,13,86,53,613,133,255,84,70,34,61,46,118,50,60,44
14000US11001004400,"Census Tract 44, District of Columbia, DC",5549,433,718,339,281,178,0,17,0,17,23,40,0,17,0,17,0,17,0,17,87,111,73,54,47,47,0,17,0,17,51,75,437,211,0,17,24,43,0,17,24,43,0,17,0,17,58,77,145,133,2,4,32,41,1,4,14,31,137,97,4831,406,2615,404,92,51,0,17,50,44,0,17,33,44,0,17,175,95,1005,319,541,141,332,111,253,117,75,70,59,50,2216,301,92,75,0,17,13,27,15,23,0,17,0,17,219,134,1061,241,267,97,162,79,262,110,103,75,22,23
14000US11001004600,"Census Tract 46, District of Columbia, DC",2913,319,413,218,175,113,26,27,0,12,77,94,0,12,0,12,0,12,6,10,0,12,0,12,10,16,56,65,0,12,0,12,238,115,11,16,0,12,0,12,11,17,0,12,37,44,11,16,48,51,9,15,31,38,38,47,36,57,6,10,2500,393,1201,199,81,52,0,12,22,26,0,12,0,12,44,60,78,59,478,147,103,58,158,98,188,97,16,19,33,40,1299,280,68,69,58,44,30,38,0,12,0,12,11,18,73,60,427,150,163,85,88,62,192,99,45,33,144,72
14000US11001004701,"Census Tract 47.01, District of Columbia, DC",3983,532,1042,488,486,358,204,201,39,61,140,188,0,12,0,12,0,12,10,25,44,46,19,29,0,12,30,50,0,12,0,12,556,221,7,48,0,12,0,12,0,12,0,12,0,12,28,44,191,137,2,5,70,77,165,132,77,54,16,25,2941,636,1443,380,98,121,0,12,110,74,46,73,0,12,22,37,102,98,317,140,453,358,111,55,62,52,122,69,0,12,1498,388,80,138,0,12,131,110,37,63,0,12,0,12,63,80,464,168,159,92,58,64,255,159,100,64,151,122
14000US11001004702,"Census Tract 47.02, District of Columbia, DC",2038,164,355,145,109,57,0,12,0,12,15,24,0,12,0,12,0,12,0,12,64,32,0,12,8,19,22,30,0,12,0,12,246,113,19,30,0,12,33,36,0,12,0,12,0,12,41,30,66,48,0,12,5,10,57,57,10,23,15,23,1683,206,860,121,20,19,1,10,29,13,19,23,21,24,0,12,21,23,454,91,97,41,55,30,78,43,45,25,20,29,823,149,6,25,0,12,9,18,0,12,1,6,28,14,55,41,419,118,128,50,86,46,42,33,49,35,0,12
14000US11001004801,"Census Tract 48.01, District of Columbia, DC",2131,267,251,139,121,85,0,12,0,12,0,12,0,12,0,12,0,12,10,14,0,12,0,12,49,54,13,22,22,21,27,42,130,81,0,12,0,12,0,12,0,12,0,12,0,12,11,16,21,31,38,63,0,12,11,15,31,27,18,19,1880,224,922,136,21,24,0,12,35,21,29,29,0,12,0,12,102,40,223,81,217,65,115,35,104,51,58,44,18,20,958,179,34,32,9,14,11,17,28,21,0,12,38,35,50,40,386,124,114,44,112,69,59,36,25,19,92,46
14000US11001004802,"Census Tract 48.02, District of Columbia, DC",3279,328,727,258,279,144,27,44,0,12,0,12,14,24,23,29,0,12,23,30,85,78,9,20,9,20,67,42,22,31,0,12,448,176,0,12,9,14,0,12,0,12,8,13,23,29,103,82,37,58,21,35,32,30,94,69,71,62,50,48,2552,366,1224,236,28,45,0,12,57,61,28,45,51,46,0,12,85,55,346,108,348,117,109,54,134,96,8,17,30,27,1328,236,22,28,0,12,37,52,78,63,29,46,38,36,146,64,424,139,179,84,177,78,93,68,65,36,40,31
14000US11001004901,"Census Tract 49.01, District of Columbia, DC",2483,327,623,311,188,111,0,12,0,12,53,57,20,32,0,12,7,11,0,12,45,58,26,31,11,18,26,31,0,12,0,12,435,214,55,71,0,12,51,68,30,33,0,12,20,30,26,30,55,53,41,35,58,40,81,45,11,14,7,11,1860,303,871,160,51,35,0,12,36,36,19,16,20,31,23,36,42,29,260,94,162,51,122,62,107,65,26,17,3,7,989,239,77,36,13,13,69,56,0,12,8,14,10,14,96,74,420,132,128,50,4,6,66,52,81,32,17,12
14000US11001004902,"Census Tract 49.02, District of Columbia, DC",2747,245,411,191,194,124,25,32,10,19,13,22,0,12,0,12,0,12,29,32,58,52,38,36,6,10,11,18,0,12,4,8,217,108,0,12,0,12,0,12,0,12,0,12,0,12,76,87,60,50,13,21,20,33,39,44,0,12,9,15,2336,283,1256,191,19,27,0,12,20,32,0,12,0,12,0,12,72,51,534,147,369,120,179,87,63,42,0,12,0,12,1080,207,46,40,65,66,0,12,0,12,0,12,34,37,136,78,327,121,224,83,104,60,94,61,40,31,10,15
14000US11001005001,"Census Tract 50.01, District of Columbia, DC",2087,260,130,111,119,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,6,13,48,66,51,85,6,12,0,12,11,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,0,12,0,12,0,12,7,11,0,12,1957,210,1184,189,62,64,15,28,23,38,0,12,0,12,0,12,19,24,415,145,204,95,258,109,157,83,25,26,6,10,773,148,99,109,0,12,0,12,0,12,0,12,0,12,0,12,350,106,158,86,12,9,78,45,69,58,7,11
14000US11001005002,"Census Tract 50.02, District of Columbia, DC",5935,462,937,489,665,385,0,17,0,17,86,111,0,17,0,17,10,16,189,173,26,44,0,17,270,161,25,37,59,67,0,17,272,147,0,17,0,17,0,17,0,17,0,17,0,17,17,20,28,34,83,108,0,17,63,69,68,63,13,22,4998,543,2931,424,75,116,15,26,0,17,0,17,0,17,0,17,176,107,1104,241,753,236,295,124,350,207,128,113,35,52,2067,328,52,63,0,17,78,121,83,96,0,17,0,17,84,59,930,229,362,141,224,104,80,59,95,66,79,65
14000US11001005201,"Census Tract 52.01, District of Columbia, DC",5825,483,526,217,229,124,0,17,0,17,0,17,0,17,0,17,0,17,52,81,111,75,0,17,0,17,22,35,16,26,28,46,297,147,0,17,0,17,0,17,0,17,0,17,0,17,52,46,184,127,0,17,0,17,36,41,25,42,0,17,5299,545,3271,484,15,26,0,17,19,29,0,17,0,17,0,17,111,147,1545,406,581,198,579,216,239,99,162,114,20,31,2028,334,46,50,0,17,0,17,0,17,0,17,0,17,222,144,1250,293,188,86,167,111,107,72,28,32,20,32
14000US11001005301,"Census Tract 53.01, District of Columbia, DC",5260,394,411,175,140,72,0,17,0,17,0,17,0,17,0,17,0,17,0,17,71,59,26,28,0,17,15,25,28,40,0,17,271,158,0,17,0,17,0,17,0,17,0,17,0,17,150,131,85,77,18,28,0,17,18,28,0,17,0,17,4849,380,2565,300,83,72,0,17,20,33,0,17,0,17,0,17,116,76,1133,217,386,121,439,144,171,90,148,75,69,44,2284,307,158,123,0,17,0,17,0,17,0,17,0,17,207,134,1273,229,340,105,114,63,95,71,62,45,35,37
14000US11001005500,"Census Tract 55, District of Columbia, DC",6272,599,995,377,329,223,0,17,0,17,0,17,0,17,0,17,0,17,240,194,15,24,69,71,3,5,2,4,0,17,0,17,666,313,0,17,0,17,76,121,0,17,0,17,0,17,228,147,112,107,147,158,13,23,90,82,0,17,0,17,5277,630,2505,414,51,53,0,17,0,17,0,17,0,17,0,17,79,85,1200,320,353,142,299,129,253,182,152,85,118,87,2772,482,73,63,0,17,0,17,0,17,0,17,0,17,325,270,1161,301,402,163,352,110,232,131,139,72,88,90
14000US11001005600,"Census Tract 56, District of Columbia, DC",4871,453,853,212,350,143,0,17,0,17,0,17,0,17,0,17,0,17,133,82,79,56,0,17,2,3,29,42,72,96,35,56,503,194,0,17,0,17,0,17,0,17,0,17,0,17,326,146,99,103,0,17,1,2,9,15,52,63,16,26,4018,474,2118,336,55,68,0,17,0,17,0,17,0,17,0,17,72,64,518,225,562,321,166,105,290,166,255,126,200,104,1900,301,44,52,0,17,0,17,0,17,0,17,0,17,229,129,500,156,95,66,195,107,297,121,268,104,272,114
14000US11001005800,"Census Tract 58, District of Columbia, DC",2697,195,375,126,157,94,0,12,0,12,38,43,0,12,0,12,0,12,0,12,15,18,53,45,26,29,25,41,0,12,0,12,218,64,0,12,0,12,0,12,0,12,0,12,0,12,8,13,36,29,51,40,0,12,25,39,23,37,75,37,2322,228,1207,158,46,36,0,12,15,22,11,18,0,12,0,12,51,52,302,73,330,100,147,67,131,64,132,44,42,26,1115,155,58,38,0,12,0,12,0,12,11,17,0,12,86,73,438,114,224,65,92,51,110,40,76,35,20,22
14000US11001005900,"Census Tract 59, District of Columbia, DC",2728,425,495,300,317,235,0,12,0,12,0,12,0,12,0,12,0,12,41,36,35,42,49,60,114,101,52,53,26,39,0,12,178,157,0,12,0,12,0,12,0,12,0,12,0,12,43,47,14,16,62,69,22,39,37,70,0,12,0,12,2233,231,1134,181,11,15,0,12,0,12,0,12,0,12,0,12,153,76,499,143,222,86,158,100,57,36,34,24,0,12,1099,217,34,37,23,29,0,12,0,12,0,12,0,12,378,144,488,112,20,17,56,35,23,22,47,27,30,25
14000US11001006202,"Census Tract 62.02, District of Columbia, DC",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001006400,"Census Tract 64, District of Columbia, DC",1986,255,933,248,444,141,31,44,0,12,67,64,0,12,8,14,22,24,98,71,46,41,11,17,105,69,36,34,0,12,20,21,489,155,32,39,0,12,71,51,0,12,15,16,11,14,21,23,119,49,39,37,58,40,81,43,0,12,42,29,1053,230,429,134,0,12,12,19,82,94,20,21,0,12,0,12,68,71,73,51,49,41,36,30,40,24,49,40,0,12,624,147,19,22,0,12,4,9,37,46,30,41,0,12,56,41,114,62,98,75,78,38,105,54,41,37,42,26
14000US11001006500,"Census Tract 65, District of Columbia, DC",2402,235,131,65,34,58,0,12,0,12,4,11,0,12,0,12,0,12,6,10,12,28,0,12,0,12,12,28,0,12,0,12,97,60,0,12,0,12,0,12,3,9,0,12,0,12,0,12,25,30,32,42,16,30,21,30,0,12,0,12,2271,234,1107,145,90,49,19,24,5,13,0,12,0,12,11,18,34,32,406,125,173,83,127,49,120,54,107,43,15,17,1164,140,67,50,0,12,17,19,18,20,0,12,0,12,26,25,496,129,128,52,81,43,196,60,94,34,41,29
14000US11001006600,"Census Tract 66, District of Columbia, DC",1932,226,88,74,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,80,71,0,12,0,12,0,12,0,12,0,12,0,12,53,68,6,10,0,12,3,6,0,12,0,12,18,17,1844,217,870,161,66,31,9,14,33,42,6,9,0,12,15,20,5,8,256,99,121,49,100,65,101,51,110,54,48,32,974,161,45,32,5,10,32,35,15,17,0,12,3,7,84,65,252,170,177,66,120,63,145,56,75,39,21,26
14000US11001006700,"Census Tract 67, District of Columbia, DC",3916,237,181,79,103,66,0,12,0,12,0,12,0,12,0,12,0,12,22,30,50,52,0,12,4,8,19,23,8,12,0,12,78,50,0,12,0,12,0,12,0,12,0,12,0,12,12,16,42,44,24,20,0,12,0,12,0,12,0,12,3735,248,1612,135,73,53,16,24,64,49,0,12,0,12,0,12,62,45,195,66,420,88,228,77,265,84,173,51,116,54,2123,194,185,71,16,22,90,57,25,28,12,20,13,19,175,99,546,123,347,87,249,81,233,67,188,54,44,35
14000US11001006801,"Census Tract 68.01, District of Columbia, DC",2032,203,329,185,163,82,51,47,0,12,0,12,21,21,0,12,0,12,11,11,10,12,12,14,26,26,32,44,0,12,0,12,166,114,0,12,22,23,41,38,0,12,0,12,0,12,0,12,58,43,21,21,11,12,8,12,0,12,5,8,1703,205,833,113,22,28,8,12,6,9,13,20,6,9,0,12,62,53,278,88,184,52,83,48,81,40,35,23,55,29,870,165,10,11,0,12,66,62,14,22,0,12,4,6,71,54,275,82,103,38,134,54,119,46,50,26,24,18
14000US11001006802,"Census Tract 68.02, District of Columbia, DC",2252,250,298,149,133,69,14,20,0,12,21,23,19,29,0,12,0,12,24,26,0,12,0,12,25,27,25,23,5,7,0,12,165,96,0,12,0,12,11,17,0,12,0,12,0,12,70,74,14,17,32,35,31,32,7,10,0,12,0,12,1954,213,886,128,61,33,21,28,59,26,7,10,0,12,0,12,22,23,148,57,219,54,162,56,103,56,42,25,42,29,1068,139,110,52,24,22,85,49,0,12,8,11,8,11,66,41,217,55,241,70,117,53,59,31,70,29,63,24
14000US11001006804,"Census Tract 68.04, District of Columbia, DC",120,134,114,123,11,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,13,5,13,0,12,0,12,103,133,0,12,0,12,0,12,0,12,0,12,0,12,5,11,35,74,5,11,41,76,12,27,5,14,0,12,6,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,14,0,12,0,12,0,12
14000US11001006900,"Census Tract 69, District of Columbia, DC",2148,165,122,82,33,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,1,4,20,27,0,12,0,12,89,69,0,12,0,12,0,12,0,12,0,12,0,12,23,35,8,11,0,12,2,4,35,53,0,12,21,25,2026,174,941,122,37,31,0,12,39,31,9,13,0,12,0,12,5,8,214,76,292,83,165,73,96,51,35,24,49,32,1085,109,100,58,27,25,43,28,0,12,9,14,0,12,10,17,262,80,286,56,91,37,182,52,43,44,32,29
14000US11001007000,"Census Tract 70, District of Columbia, DC",2336,229,149,77,36,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,26,0,12,0,12,0,12,0,12,10,15,113,71,0,12,0,12,0,12,0,12,0,12,0,12,12,29,12,18,0,12,56,62,9,15,24,26,0,12,2187,244,1141,190,65,38,0,12,30,21,9,15,0,12,0,12,54,75,381,163,152,45,108,50,195,71,101,44,46,28,1046,142,86,65,0,12,36,21,0,12,16,19,31,45,26,23,395,99,150,55,72,42,141,66,47,29,46,30
14000US11001007100,"Census Tract 71, District of Columbia, DC",3335,532,1337,582,631,297,37,57,0,12,76,67,99,105,0,12,28,45,94,77,83,77,30,45,109,71,71,66,2,4,2,4,706,313,0,12,15,22,103,115,68,72,0,12,74,64,59,63,189,116,41,47,52,51,24,39,22,35,59,52,1998,332,892,180,35,31,0,12,8,13,11,17,0,12,11,17,84,61,209,66,171,68,131,97,141,80,59,38,32,29,1106,224,99,84,0,12,22,35,21,24,0,12,0,12,60,50,385,115,137,60,100,63,108,49,111,60,63,39
14000US11001007200,"Census Tract 72, District of Columbia, DC",3999,362,405,126,144,62,0,12,0,12,20,31,0,12,0,12,0,12,21,24,39,47,11,17,0,12,0,12,25,27,28,32,261,111,0,12,0,12,0,12,0,12,0,12,0,12,111,89,59,47,0,12,0,12,21,21,40,31,30,35,3594,343,1863,231,131,64,0,12,0,12,0,12,0,12,0,12,209,114,790,199,356,100,176,72,119,65,82,51,0,12,1731,266,108,42,12,19,13,19,0,12,0,12,35,43,220,102,669,159,302,112,162,95,85,68,53,35,72,58
